id,name,min_players,max_players,play_time,image,age_range
12493,Twilight Imperium (Third Edition),3,6,240,https://cf.geekdo-images.com/images/pic50404.jpg,14
28143,Race for the Galaxy,2,4,60,https://cf.geekdo-images.com/images/pic236327.jpg,12
110327,Lords of Waterdeep,2,5,120,https://cf.geekdo-images.com/images/pic1116080.jpg,12
62219,Dominant Species,2,6,240,https://cf.geekdo-images.com/images/pic784193.jpg,14
157354,Five Tribes,2,4,80,https://cf.geekdo-images.com/images/pic2055255.jpg,13
93,El Grande,2,5,120,https://cf.geekdo-images.com/images/pic180538.jpg,12
163412,Patchwork,2,2,30,https://cf.geekdo-images.com/images/pic2270442.jpg,8
132531,Roll for the Galaxy,2,5,45,https://cf.geekdo-images.com/images/pic1473629.jpg,13
159675,Fields of Arle,1,2,120,https://cf.geekdo-images.com/images/pic2225968.png,13
40834,Dominion: Intrigue,2,4,30,https://cf.geekdo-images.com/images/pic460011.jpg,13
201808,Clank!: A Deck-Building Adventure,1,4,60,https://cf.geekdo-images.com/images/pic3056966.jpg,12
150376,Dead of Winter: A Crossroads Game,2,5,210,https://cf.geekdo-images.com/images/pic3016500.jpg,14
103885,Star Wars: X-Wing Miniatures Game,2,2,45,https://cf.geekdo-images.com/images/pic1603292.jpg,14
37111,Battlestar Galactica: The Board Game,3,6,300,https://cf.geekdo-images.com/images/pic354500.jpg,10
221107,Pandemic Legacy: Season 2,2,4,60,https://cf.geekdo-images.com/images/pic3763549.jpg,14
2511,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1,8,120,https://cf.geekdo-images.com/images/pic3514298.jpg,10
172386,Mombasa,2,4,150,https://cf.geekdo-images.com/images/pic2611318.jpg,12
144733,Russian Railroads,2,4,120,https://cf.geekdo-images.com/images/pic1772936.jpg,12
102680,Trajan,2,4,120,https://cf.geekdo-images.com/images/pic1054375.jpg,12
73439,Troyes,2,4,90,https://cf.geekdo-images.com/images/pic750583.jpg,12
36218,Dominion,2,4,30,https://cf.geekdo-images.com/images/pic394356.jpg,13
42,Tigris & Euphrates,2,4,90,https://cf.geekdo-images.com/images/pic2338267.jpg,12
30549,Pandemic,2,4,45,https://cf.geekdo-images.com/images/pic1534148.jpg,8
220308,Gaia Project,1,4,150,https://cf.geekdo-images.com/images/pic3763556.jpg,12
194655,Santorini,2,4,20,https://cf.geekdo-images.com/images/pic3283110.png,8
125153,The Gallerist,1,4,150,https://cf.geekdo-images.com/images/pic2503200.png,13
521,Crokinole,2,4,30,https://cf.geekdo-images.com/images/pic79413.jpg,8
104162,Descent: Journeys in the Dark (Second Edition),2,5,120,https://cf.geekdo-images.com/images/pic1180640.jpg,14
127023,Kemet,2,5,120,https://cf.geekdo-images.com/images/pic1431241.jpg,13
155426,Castles of Mad King Ludwig,1,4,90,https://cf.geekdo-images.com/images/pic1961827.jpg,13
9609,War of the Ring (first edition),2,4,120,https://cf.geekdo-images.com/images/pic725882.jpg,12
34635,Stone Age,2,4,90,https://cf.geekdo-images.com/images/pic1632539.jpg,10
161970,Alchemists,2,4,120,https://cf.geekdo-images.com/images/pic2241156.png,13
216132,Clans of Caledonia,1,4,120,https://cf.geekdo-images.com/images/pic3511783.png,12
128882,The Resistance: Avalon,5,10,30,https://cf.geekdo-images.com/images/pic1398895.jpg,13
103343,A Game of Thrones: The Board Game (Second Edition),3,6,240,https://cf.geekdo-images.com/images/pic1077906.jpg,14
175155,Forbidden Stars,2,4,180,https://cf.geekdo-images.com/images/pic2471359.jpg,14
155068,Arcadia Quest,2,4,60,https://cf.geekdo-images.com/images/pic2305263.jpg,13
146652,Legendary Encounters: An Alien Deck Building Game,1,5,45,https://cf.geekdo-images.com/images/pic2225180.jpg,17
147020,Star Realms,2,2,20,https://cf.geekdo-images.com/images/pic1903816.jpg,12
70149,Ora et Labora,1,4,180,https://cf.geekdo-images.com/images/pic1165426.jpg,13
123260,Suburbia,1,4,90,https://cf.geekdo-images.com/images/pic1418335.jpg,8
126042,Nations,1,5,200,https://cf.geekdo-images.com/images/pic1591406.png,14
14996,Ticket to Ride: Europe,2,5,60,https://cf.geekdo-images.com/images/pic66668.jpg,8
43111,Chaos in the Old World,3,4,120,https://cf.geekdo-images.com/images/pic1318481.jpg,13
14105,Commands & Colors: Ancients,2,2,60,https://cf.geekdo-images.com/images/pic132447.jpg,12
148949,Istanbul,2,5,60,https://cf.geekdo-images.com/images/pic1885326.jpg,10
17133,Railways of the World,2,6,120,https://cf.geekdo-images.com/images/pic445850.jpg,10
91,Paths of Glory,2,2,480,https://cf.geekdo-images.com/images/pic834645.jpg,14
185343,Anachrony,1,4,120,https://cf.geekdo-images.com/images/pic3499707.jpg,15
171131,Captain Sonar,2,8,60,https://cf.geekdo-images.com/images/pic3013621.png,14
198928,Pandemic Iberia,2,5,45,https://cf.geekdo-images.com/images/pic3000850.png,8
39463,Cosmic Encounter,3,5,120,https://cf.geekdo-images.com/images/pic1521633.jpg,12
21050,Combat Commander: Europe,2,2,180,https://cf.geekdo-images.com/images/pic992459.jpg,12
9216,Goa,2,4,90,https://cf.geekdo-images.com/images/pic1215969.jpg,12
77423,The Lord of the Rings: The Card Game,1,2,60,https://cf.geekdo-images.com/images/pic906495.jpg,13
54043,Jaipur,2,2,30,https://cf.geekdo-images.com/images/pic725500.jpg,12
146886,La Granja,1,4,120,https://cf.geekdo-images.com/images/pic2031777.jpg,12
43015,Hansa Teutonica,2,5,90,https://cf.geekdo-images.com/images/pic839090.jpg,12
27833,Steam,3,5,90,https://cf.geekdo-images.com/images/pic392515.jpg,10
176189,Zombicide: Black Plague,1,6,180,https://cf.geekdo-images.com/images/pic2482309.jpg,10
4098,Age of Steam,1,6,120,https://cf.geekdo-images.com/images/pic429576.jpg,13
230802,Azul,2,4,45,https://cf.geekdo-images.com/images/pic3718275.jpg,8
104006,Village,2,4,90,https://cf.geekdo-images.com/images/pic2760568.jpg,12
148228,Splendor,2,4,30,https://cf.geekdo-images.com/images/pic1904079.jpg,10
555,The Princes of Florence,2,5,100,https://cf.geekdo-images.com/images/pic1306997.jpg,12
31627,Ticket to Ride: Nordic Countries,2,3,60,https://cf.geekdo-images.com/images/pic369616.jpg,8
128621,Viticulture,2,6,90,https://cf.geekdo-images.com/images/pic2619743.jpg,13
215,Tichu,4,4,60,https://cf.geekdo-images.com/images/pic169494.jpg,10
188,Go,2,2,180,https://cf.geekdo-images.com/images/pic1728832.jpg,8
196340,Yokohama,2,4,90,https://cf.geekdo-images.com/images/pic2948038.png,12
10630,Memoir '44,2,8,60,https://cf.geekdo-images.com/images/pic43663.jpg,8
182874,Grand Austria Hotel,2,4,120,https://cf.geekdo-images.com/images/pic2728138.jpg,12
129437,Legendary: A Marvel Deck Building Game,1,5,45,https://cf.geekdo-images.com/images/pic1430769.jpg,14
233078,Twilight Imperium: Fourth Edition,3,6,480,https://cf.geekdo-images.com/images/pic3727516.jpg,14
9209,Ticket to Ride,2,5,60,https://cf.geekdo-images.com/images/pic38668.jpg,8
172287,Champions of Midgard,2,4,90,https://cf.geekdo-images.com/images/pic2869714.jpg,10
154203,Imperial Settlers,1,4,90,https://cf.geekdo-images.com/images/pic2871265.jpg,10
20551,Shogun,3,5,150,https://cf.geekdo-images.com/images/pic145843.jpg,12
31481,Galaxy Trucker,2,4,60,https://cf.geekdo-images.com/images/pic3926631.jpg,10
146439,BattleLore (Second Edition),2,2,90,https://cf.geekdo-images.com/images/pic1854807.jpg,14
101721,Mage Wars Arena,2,2,90,https://cf.geekdo-images.com/images/pic2386027.jpg,13
234,Hannibal: Rome vs. Carthage,2,2,200,https://cf.geekdo-images.com/images/pic706069.jpg,12
155821,Inis,2,4,90,https://cf.geekdo-images.com/images/pic3112623.jpg,14
54998,Cyclades,2,5,90,https://cf.geekdo-images.com/images/pic584779.jpg,13
7854,YINSH,2,2,60,https://cf.geekdo-images.com/images/pic2844830.png,9
140620,Lewis & Clark,1,5,120,https://cf.geekdo-images.com/images/pic1902092.jpg,14
22545,Age of Empires III: The Age of Discovery,2,5,120,https://cf.geekdo-images.com/images/pic990261.jpg,10
97207,Dungeon Petz,2,4,90,https://cf.geekdo-images.com/images/pic1103979.jpg,13
12,Ra,2,5,60,https://cf.geekdo-images.com/images/pic3013552.jpg,12
93260,Summoner Wars: Master Set,2,4,30,https://cf.geekdo-images.com/images/pic923048.jpg,9
24181,Imperial,2,6,180,https://cf.geekdo-images.com/images/pic840712.jpg,13
59294,Runewars,2,4,240,https://cf.geekdo-images.com/images/pic1534815.jpg,14
822,Carcassonne,2,5,45,https://cf.geekdo-images.com/images/pic2337577.jpg,8
38453,Space Alert,1,5,30,https://cf.geekdo-images.com/images/pic384313.jpg,12
193037,Dead of Winter: The Long Night,2,5,120,https://cf.geekdo-images.com/images/pic2906832.jpg,14
25021,Sekigahara: The Unification of Japan,2,2,180,https://cf.geekdo-images.com/images/pic1063508.jpg,12
181304,Mysterium,2,7,42,https://cf.geekdo-images.com/images/pic2601683.jpg,10
19857,Glory to Rome,2,5,60,https://cf.geekdo-images.com/images/pic1079512.png,12
127060,Bora Bora,2,4,120,https://cf.geekdo-images.com/images/pic1542342.jpg,12
118048,Targi,2,2,60,https://cf.geekdo-images.com/images/pic1629318.jpg,12
172818,Above and Below,2,4,90,https://cf.geekdo-images.com/images/pic2398773.jpg,13
192291,Sushi Go Party!,2,8,20,https://cf.geekdo-images.com/images/pic3031286.jpg,8
48726,Alien Frontiers,2,4,90,https://cf.geekdo-images.com/images/pic3360924.png,13
176494,Isle of Skye: From Chieftain to King,2,5,50,https://cf.geekdo-images.com/images/pic2524838.jpg,8
27708,1960: The Making of the President,2,2,90,https://cf.geekdo-images.com/images/pic3499166.jpg,12
108745,Seasons,2,4,60,https://cf.geekdo-images.com/images/pic1299390.jpg,14
155873,Power Grid Deluxe: Europe/North America,2,6,120,https://cf.geekdo-images.com/images/pic2056160.jpg,12
463,Magic: The Gathering,2,2,20,https://cf.geekdo-images.com/images/pic163749.jpg,13
82222,Xia: Legends of a Drift System,3,5,180,https://cf.geekdo-images.com/images/pic1807124.png,12
181279,Fury of Dracula (third edition),2,5,180,https://cf.geekdo-images.com/images/pic2628062.jpg,14
92828,Dixit Odyssey,3,12,30,https://cf.geekdo-images.com/images/pic918568.jpg,8
66589,Navegador,2,5,90,https://cf.geekdo-images.com/images/pic3246725.jpg,12
17392,Here I Stand,2,6,360,https://cf.geekdo-images.com/images/pic353047.jpg,12
421,1830: Railways & Robber Barons,2,7,360,https://cf.geekdo-images.com/images/pic882119.jpg,14
54138,Imperial 2030,2,6,120,https://cf.geekdo-images.com/images/pic586346.jpg,12
41114,The Resistance,5,10,30,https://cf.geekdo-images.com/images/pic2576459.jpg,13
77130,Sid Meier's Civilization: The Board Game,2,4,240,https://cf.geekdo-images.com/images/pic798666.jpg,13
3,Samurai,2,4,60,https://cf.geekdo-images.com/images/pic3211873.jpg,10
119890,Agricola: All Creatures Big and Small,2,2,30,https://cf.geekdo-images.com/images/pic1514252.jpg,13
760,Battle Line,2,2,30,https://cf.geekdo-images.com/images/pic149717.jpg,12
156129,Deception: Murder in Hong Kong,4,12,20,https://cf.geekdo-images.com/images/pic2568916.jpg,14
163745,Star Wars: Armada,2,2,120,https://cf.geekdo-images.com/images/pic2355171.jpg,14
45315,Dungeon Lords,2,4,90,https://cf.geekdo-images.com/images/pic569340.jpg,12
1,Die Macher,3,5,240,https://cf.geekdo-images.com/images/pic159509.jpg,14
40692,Small World,2,5,80,https://cf.geekdo-images.com/images/pic428828.jpg,8
59959,Letters from Whitechapel,2,6,120,https://cf.geekdo-images.com/images/pic1545654.jpg,13
195421,Near and Far,2,4,120,https://cf.geekdo-images.com/images/pic3605785.jpg,13
163068,Trickerion: Legends of Illusion,2,4,180,https://cf.geekdo-images.com/images/pic2585510.png,14
36932,Claustrophobia,2,2,45,https://cf.geekdo-images.com/images/pic570518.jpg,14
176920,Mission: Red Planet (Second Edition),2,6,90,https://cf.geekdo-images.com/images/pic2499748.jpg,14
224037,Codenames Duet,2,4,30,https://cf.geekdo-images.com/images/pic3596681.jpg,11
182631,Star Realms: Colony Wars,2,2,20,https://cf.geekdo-images.com/images/pic2971899.jpg,12
15985,Blood Bowl: Living Rulebook,2,2,120,https://cf.geekdo-images.com/images/pic66287.jpg,12
39856,Dixit,3,6,30,https://cf.geekdo-images.com/images/pic3483909.jpg,6
160477,Onitama,2,2,20,https://cf.geekdo-images.com/images/pic2904046.png,8
198773,Codenames: Pictures,2,8,20,https://cf.geekdo-images.com/images/pic3476592.jpg,10
37046,Ghost Stories,1,4,60,https://cf.geekdo-images.com/images/pic1790243.jpg,12
123123,BattleCON: Devastation of Indines,1,5,45,https://cf.geekdo-images.com/images/pic2407334.jpg,10
243,Advanced Squad Leader,2,2,480,https://cf.geekdo-images.com/images/pic771969.jpg,14
161533,Lisboa,1,4,120,https://cf.geekdo-images.com/images/pic3209553.jpg,12
136888,Bruges,2,4,60,https://cf.geekdo-images.com/images/pic1652004.jpg,10
162886,Spirit Island,1,4,120,https://cf.geekdo-images.com/images/pic3615739.png,13
25292,Merchants & Marauders,2,4,180,https://cf.geekdo-images.com/images/pic738119.jpg,13
19777,Indonesia,2,5,240,https://cf.geekdo-images.com/images/pic93485.jpg,14
124708,Mice and Mystics,1,4,120,https://cf.geekdo-images.com/images/pic1312072.jpg,7
33160,Endeavor,3,5,90,https://cf.geekdo-images.com/images/pic379881.jpg,12
204583,Kingdomino,2,4,20,https://cf.geekdo-images.com/images/pic3132685.png,8
144344,Rococo,2,5,120,https://cf.geekdo-images.com/images/pic1795272.jpg,12
40765,Clash of Cultures,2,4,240,https://cf.geekdo-images.com/images/pic1351042.jpg,14
200680,Agricola (revised edition),1,4,120,https://cf.geekdo-images.com/images/pic3029377.jpg,12
63628,The Manhattan Project,2,5,120,https://cf.geekdo-images.com/images/pic1222522.jpg,13
70919,Takenoko,2,4,45,https://cf.geekdo-images.com/images/pic1912529.jpg,8
2655,Hive,2,2,20,https://cf.geekdo-images.com/images/pic791151.jpg,9
129622,Love Letter,2,4,20,https://cf.geekdo-images.com/images/pic1401448.jpg,10
5,Acquire,2,6,90,https://cf.geekdo-images.com/images/pic3299296.jpg,12
143693,Glass Road,1,4,80,https://cf.geekdo-images.com/images/pic3505745.jpg,13
121,Dune,2,6,180,https://cf.geekdo-images.com/images/pic279251.jpg,12
21241,Neuroshima Hex!,1,4,30,https://cf.geekdo-images.com/images/pic1844819.jpg,13
170042,Raiders of the North Sea,2,4,120,https://cf.geekdo-images.com/images/pic3578101.jpg,12
197376,Charterstone,1,6,75,https://cf.geekdo-images.com/images/pic3322613.jpg,14
188834,Secret Hitler,5,10,45,https://cf.geekdo-images.com/images/pic2771488.png,13
25554,Notre Dame,2,5,75,https://cf.geekdo-images.com/images/pic199316.jpg,10
172081,Burgle Bros.,1,4,90,https://cf.geekdo-images.com/images/pic2439102.png,12
203993,Lorenzo il Magnifico,2,4,120,https://cf.geekdo-images.com/images/pic3175535.jpg,12
31594,In the Year of the Dragon,2,5,100,https://cf.geekdo-images.com/images/pic285822.jpg,12
176734,The Manhattan Project: Energy Empire,1,5,120,https://cf.geekdo-images.com/images/pic3048617.jpg,13
198994,Hero Realms,1,4,30,https://cf.geekdo-images.com/images/pic3744052.jpg,12
54,Tikal,2,4,90,https://cf.geekdo-images.com/images/pic178078.jpg,10
54625,Space Hulk (third edition),2,2,60,https://cf.geekdo-images.com/images/pic588817.jpg,12
109276,Kanban: Automotive Revolution,2,4,120,https://cf.geekdo-images.com/images/pic2041406.png,12
71,Civilization,2,7,360,https://cf.geekdo-images.com/images/pic114473.jpg,12
70323,King of Tokyo,2,6,30,https://cf.geekdo-images.com/images/pic3043734.jpg,8
139976,Cthulhu Wars,2,4,120,https://cf.geekdo-images.com/images/pic3527761.jpg,14
46213,Telestrations,4,8,30,https://cf.geekdo-images.com/images/pic2523100.jpg,12
105134,Risk Legacy,3,5,60,https://cf.geekdo-images.com/images/pic1196938.jpg,13
8217,San Juan,2,4,60,https://cf.geekdo-images.com/images/pic174174.jpg,10
9217,Saint Petersburg,2,4,60,https://cf.geekdo-images.com/images/pic246360.jpg,10
118,Modern Art,3,5,45,https://cf.geekdo-images.com/images/pic3458036.png,10
2653,Survive: Escape from Atlantis!,2,4,60,https://cf.geekdo-images.com/images/pic1300182.png,8
191189,Aeon's End,1,4,60,https://cf.geekdo-images.com/images/pic3189350.jpg,14
21348,Ticket to Ride: M�rklin,2,5,60,https://cf.geekdo-images.com/images/pic162026.jpg,8
24480,The Pillars of the Earth,2,4,120,https://cf.geekdo-images.com/images/pic3691155.jpg,12
175640,Vinhos Deluxe Edition,1,4,135,https://cf.geekdo-images.com/images/pic2649446.jpg,14
199561,Sagrada,1,4,40,https://cf.geekdo-images.com/images/pic3525224.jpg,14
15987,Arkham Horror,1,8,360,https://cf.geekdo-images.com/images/pic175966.jpg,12
13122,Antiquity,2,4,180,https://cf.geekdo-images.com/images/pic3731052.png,14
157969,Sheriff of Nottingham,3,5,60,https://cf.geekdo-images.com/images/pic2075830.jpg,13
163967,Tiny Epic Galaxies,1,5,60,https://cf.geekdo-images.com/images/pic2349732.jpg,14
79828,A Few Acres of Snow,2,2,120,https://cf.geekdo-images.com/images/pic905905.jpg,14
39683,At the Gates of Loyang,1,4,120,https://cf.geekdo-images.com/images/pic3601060.jpg,10
90137,Blood Bowl: Team Manager ? The Card Game,2,4,90,https://cf.geekdo-images.com/images/pic1222746.jpg,14
209685,Century: Spice Road,2,5,45,https://cf.geekdo-images.com/images/pic3339551.jpg,8
55670,Macao,2,4,100,https://cf.geekdo-images.com/images/pic665651.jpg,12
176396,Quadropolis,2,4,60,https://cf.geekdo-images.com/images/pic2840020.jpg,8
128996,1775: Rebellion,2,4,120,https://cf.geekdo-images.com/images/pic1386705.jpg,10
712,Blood Bowl (Third Edition),2,2,180,https://cf.geekdo-images.com/images/pic1427839.jpg,12
96913,Lancaster,2,5,60,https://cf.geekdo-images.com/images/pic1280761.jpg,10
66188,Fresco,2,4,60,https://cf.geekdo-images.com/images/pic714398.jpg,10
40354,Maria,2,3,210,https://cf.geekdo-images.com/images/pic524669.jpg,14
25417,BattleLore,2,2,60,https://cf.geekdo-images.com/images/pic145116.jpg,10
154809,Nippon,2,4,120,https://cf.geekdo-images.com/images/pic2683981.jpg,12
183562,Star Wars: X-Wing Miniatures Game ? The Force Awakens Core Set,2,2,45,https://cf.geekdo-images.com/images/pic2654558.png,14
